id,group,page,actions
14893,control,old page,view
13694,control,old page,view
17431,treatment,new page,click
18327,treatment,new page,view
14940,control,old page,view
17167,treatment,new page,view
15384,control,old page,click
13109,control,old page,view
15391,control,old page,view
15342,control,old page,click
18367,treatment,new page,view
13006,control,old page,view
15158,control,old page,click
18053,treatment,new page,view
13778,control,old page,view
18683,treatment,new page,view
13808,control,old page,click
17766,treatment,new page,view
17362,treatment,new page,view
17379,treatment,new page,view
17509,treatment,new page,view
14722,control,old page,click
18669,treatment,new page,view
18453,treatment,new page,click
14411,control,old page,view
13989,control,old page,view
15582,control,old page,view
12949,control,old page,click
18251,treatment,new page,view
13973,control,old page,view
17814,treatment,new page,view
13226,control,old page,view
18569,treatment,new page,view
13021,control,old page,click
14880,control,old page,view
17720,treatment,new page,view
18633,treatment,new page,click
17024,treatment,new page,view
17574,treatment,new page,view
13160,control,old page,click
18490,treatment,new page,click
14667,control,old page,view
13009,control,old page,view
14901,control,old page,view
18061,treatment,new page,click
14553,control,old page,view
17571,treatment,new page,click
18308,treatment,new page,view
18536,treatment,new page,view
17999,treatment,new page,view
17507,treatment,new page,click
15171,control,old page,view
16890,treatment,new page,click
13691,control,old page,click
13323,control,old page,click
17292,treatment,new page,view
14856,control,old page,view
17262,treatment,new page,click
14070,control,old page,view
18294,treatment,new page,view
16917,treatment,new page,view
15012,control,old page,view
14048,control,old page,view
17755,treatment,new page,view
17745,treatment,new page,view
18171,treatment,new page,view
17867,treatment,new page,click
13286,control,old page,view
14977,control,old page,click
18475,treatment,new page,view
18398,treatment,new page,view
15102,control,old page,view
14196,control,old page,click
17862,treatment,new page,view
17325,treatment,new page,click
13424,control,old page,view
17085,treatment,new page,view
15061,control,old page,click
17466,treatment,new page,view
17812,treatment,new page,view
13945,control,old page,view
16895,treatment,new page,view
13586,control,old page,click
17335,treatment,new page,click
18440,treatment,new page,click
17041,treatment,new page,view
13300,control,old page,view
17041,treatment,new page,view
13488,control,old page,view
14733,control,old page,click
14317,control,old page,click
15515,control,old page,view
13349,control,old page,click
18165,treatment,new page,click
13978,control,old page,view
17133,treatment,new page,click
13431,control,old page,click
18252,treatment,new page,view
15013,control,old page,click
13153,control,old page,view
18128,treatment,new page,view
18152,treatment,new page,view
17847,treatment,new page,view
18156,treatment,new page,click
18083,treatment,new page,click
13256,control,old page,click
17787,treatment,new page,view
13079,control,old page,click
15569,control,old page,view
17266,treatment,new page,click
13894,control,old page,view
17422,treatment,new page,click
13833,control,old page,view
18020,treatment,new page,click
17193,treatment,new page,view
15651,control,old page,click
13448,control,old page,view
17569,treatment,new page,view
12893,control,old page,view
13397,control,old page,view
12893,control,old page,view
17075,treatment,new page,view
17139,treatment,new page,view
14682,control,old page,view
18333,treatment,new page,view
17475,treatment,new page,view
18158,treatment,new page,view
18570,treatment,new page,view
14376,control,old page,view
17554,treatment,new page,view
18080,treatment,new page,view
13231,control,old page,click
14808,control,old page,view
14232,control,old page,view
18218,treatment,new page,view
17796,treatment,new page,click
17178,treatment,new page,view
18618,treatment,new page,view
17945,treatment,new page,click
12903,control,old page,view
14382,control,old page,view
17170,treatment,new page,view
13918,control,old page,click
18565,treatment,new page,view
15181,control,old page,view
13915,control,old page,view
17557,treatment,new page,click
17697,treatment,new page,click
15240,control,old page,view
17678,treatment,new page,click
17133,treatment,new page,view
18326,treatment,new page,view
18601,treatment,new page,view
14760,control,old page,view
15760,control,old page,view
