id,group,page,session_time
15721,control,old page,2
19228,treatment,new page,2
19523,treatment,new page,2
17806,treatment,new page,2
18216,treatment,new page,2
16139,control,old page,1.5
19014,treatment,new page,2.5
14619,control,old page,2.5
18857,treatment,new page,2.5
13543,control,old page,1
14975,control,old page,1.5
18565,treatment,new page,2
19188,treatment,new page,2.5
18582,treatment,new page,2
17833,treatment,new page,2.5
19502,treatment,new page,2
13352,control,old page,2
13465,control,old page,1
13827,control,old page,1
18791,treatment,new page,2
17542,treatment,new page,2
14130,control,old page,1
14976,control,old page,1
15842,control,old page,2.5
16762,treatment,new page,2
13683,control,old page,2
18196,treatment,new page,2
18312,treatment,new page,2.5
17228,treatment,new page,2.5
16209,control,old page,2
15424,control,old page,2
17989,treatment,new page,2.5
14301,control,old page,2.5
16236,control,old page,1.5
17315,treatment,new page,2
18496,treatment,new page,2
17794,treatment,new page,2.5
18386,treatment,new page,2.5
15062,control,old page,2.5
18822,treatment,new page,2.5
15183,control,old page,2
13233,control,old page,2
17923,treatment,new page,2
15993,control,old page,2
19249,treatment,new page,2.5
13497,control,old page,1.5
13175,control,old page,1
18034,treatment,new page,2
15167,control,old page,1.5
19250,treatment,new page,2
13305,control,old page,1
18298,treatment,new page,2.5
18774,treatment,new page,2.5
13231,control,old page,1.5
13434,control,old page,1
18604,treatment,new page,2
13607,control,old page,2
17255,treatment,new page,2.5
15636,control,old page,2.5
19292,treatment,new page,2
16591,control,old page,1
15830,control,old page,1.5
14036,control,old page,1
13698,control,old page,2
14410,control,old page,2
15964,control,old page,2.5
14579,control,old page,2
17016,treatment,new page,2
14663,control,old page,1.5
19527,treatment,new page,2.5
14726,control,old page,2.5
18873,treatment,new page,2.5
15248,control,old page,2.5
17757,treatment,new page,2.5
19446,treatment,new page,2.5
15691,control,old page,2.5
16608,control,old page,1.5
15066,control,old page,2
14159,control,old page,1.5
18093,treatment,new page,2.5
14434,control,old page,1
13556,control,old page,2.5
16807,treatment,new page,2.5
16008,control,old page,2
15082,control,old page,1
14524,control,old page,2.5
15678,control,old page,2
14401,control,old page,2
14110,control,old page,2.5
13835,control,old page,2
17322,treatment,new page,2
17866,treatment,new page,2.5
13706,control,old page,1.5
19237,treatment,new page,2.5
13840,control,old page,2
13577,control,old page,1
18271,treatment,new page,2.5
17475,treatment,new page,2
18463,treatment,new page,2.5
16129,control,old page,1
14231,control,old page,2.5
13793,control,old page,1.5
15956,control,old page,2
19131,treatment,new page,2.5
14432,control,old page,1.5
16636,control,old page,2
18542,treatment,new page,2.5
19244,treatment,new page,2
14195,control,old page,1
14187,control,old page,2
18284,treatment,new page,2
17962,treatment,new page,2.5
15118,control,old page,1.5
19279,treatment,new page,2
15950,control,old page,2.5
18666,treatment,new page,2
18914,treatment,new page,2
17741,treatment,new page,2
19214,treatment,new page,2
17421,treatment,new page,2.5
13167,control,old page,1
13614,control,old page,1
13724,control,old page,1.5
16076,control,old page,2.5
16981,treatment,new page,2.5
18431,treatment,new page,2
16639,control,old page,1.5
15314,control,old page,1
17823,treatment,new page,2
18449,treatment,new page,2.5
16241,control,old page,1.5
17542,treatment,new page,2
19308,treatment,new page,2
18943,treatment,new page,2
18933,treatment,new page,2.5
13789,control,old page,2
13059,control,old page,2
15678,control,old page,1
13781,control,old page,1
14740,control,old page,1
13217,control,old page,2
16541,control,old page,2
14855,control,old page,1.5
19752,treatment,new page,2
16849,treatment,new page,2.5
14436,control,old page,1
18868,treatment,new page,2.5
17340,treatment,new page,2
