id,group,pdp_page,engagement_time
14514,control,old page,2
30613,treatment,new page,1
25365,control,old page,2
34544,treatment,new page,1.5
18691,control,old page,2
29578,treatment,new page,1
34441,treatment,new page,1.5
31604,treatment,new page,1
32187,treatment,new page,1.5
23326,control,old page,2.5
12609,control,old page,2.5
28641,treatment,new page,1
14267,control,old page,2
18817,control,old page,2.5
17978,control,old page,2
33688,treatment,new page,1.5
30376,treatment,new page,1.5
14066,control,old page,2
26822,treatment,new page,1.5
23702,control,old page,2.5
31514,treatment,new page,1.5
24267,control,old page,2
21062,control,old page,2
22469,control,old page,2
15397,control,old page,2.5
29318,treatment,new page,1
16755,control,old page,2.5
19287,control,old page,2.5
30932,treatment,new page,1.5
19682,control,old page,2
16916,control,old page,2.5
25235,control,old page,2
30851,treatment,new page,1.5
30116,treatment,new page,1
15652,control,old page,2
31048,treatment,new page,1.5
16392,control,old page,2.5
31469,treatment,new page,1.5
14922,control,old page,2
26006,treatment,new page,1
15486,control,old page,2.5
16576,control,old page,2.5
23814,control,old page,2.5
21331,control,old page,2.5
33491,treatment,new page,1.5
28063,treatment,new page,1.5
19937,control,old page,2.5
30985,treatment,new page,1.5
33737,treatment,new page,1
27646,treatment,new page,1
12676,control,old page,2
33495,treatment,new page,1.5
22537,control,old page,2
18485,control,old page,2.5
20121,control,old page,2
22980,control,old page,2.5
15195,control,old page,2.5
15191,control,old page,2
31169,treatment,new page,1.5
20766,control,old page,2
33760,treatment,new page,1.5
33710,treatment,new page,1.5
26660,treatment,new page,1
19449,control,old page,2
29287,treatment,new page,1
15661,control,old page,2.5
28502,treatment,new page,1.5
29013,treatment,new page,1
15863,control,old page,2
19368,control,old page,2
13411,control,old page,2.5
27104,treatment,new page,1
32128,treatment,new page,1.5
19807,control,old page,2.5
23684,control,old page,2.5
26127,treatment,new page,1
19314,control,old page,2
21309,control,old page,2.5
16002,control,old page,2
16235,control,old page,2
24688,control,old page,2
24410,control,old page,2.5
25526,control,old page,2
16835,control,old page,2.5
16195,control,old page,2
29148,treatment,new page,1
24200,control,old page,2
15410,control,old page,2.5
15011,control,old page,2
26346,treatment,new page,1
30327,treatment,new page,1
25405,control,old page,2.5
14146,control,old page,2.5
20063,control,old page,2.5
30703,treatment,new page,1.5
29112,treatment,new page,1
31859,treatment,new page,1
22048,control,old page,2
20497,control,old page,2.5
32263,treatment,new page,1
19803,control,old page,2
15854,control,old page,2
13066,control,old page,2.5
13420,control,old page,2.5
23393,control,old page,2.5
26028,treatment,new page,1.5
26078,treatment,new page,1.5
28924,treatment,new page,1.5
18494,control,old page,2
25396,control,old page,2.5
23456,control,old page,2.5
17521,control,old page,2.5
21183,control,old page,2.5
28381,treatment,new page,1
24379,control,old page,2
21282,control,old page,2
16177,control,old page,2.5
15809,control,old page,2
24007,control,old page,2.5
14563,control,old page,2
17418,control,old page,2.5
27476,treatment,new page,1
16065,control,old page,2
18615,control,old page,2.5
22290,control,old page,2.5
25943,control,old page,2
18359,control,old page,2.5
28951,treatment,new page,1
21613,control,old page,2.5
28838,treatment,new page,1.5
24504,control,old page,2
16531,control,old page,2
23644,control,old page,2.5
13115,control,old page,2
26382,treatment,new page,1
28897,treatment,new page,1
28632,treatment,new page,1
20748,control,old page,2.5
14881,control,old page,2.5
23303,control,old page,2.5
29963,treatment,new page,1.5
24867,control,old page,2.5
15468,control,old page,2.5
18973,control,old page,2
28933,treatment,new page,1.5
18404,control,old page,2.5
29954,treatment,new page,1
34145,treatment,new page,1
30492,treatment,new page,1
12604,control,old page,2
24316,control,old page,2
24948,control,old page,2.5
33208,treatment,new page,1
13725,control,old page,2
15025,control,old page,2.5
25414,control,old page,2
19036,control,old page,2.5
18346,control,old page,2
22416,control,old page,2
15634,control,old page,2
21569,control,old page,2
19341,control,old page,2.5
24966,control,old page,2.5
28359,treatment,new page,1.5
27431,treatment,new page,1
15437,control,old page,2.5
31967,treatment,new page,1.5
23016,control,old page,2
17754,control,old page,2
30681,treatment,new page,1
31218,treatment,new page,1
28628,treatment,new page,1
19623,control,old page,2
22492,control,old page,2
33684,treatment,new page,1
22519,control,old page,2
23514,control,old page,2.5
28538,treatment,new page,1
32980,treatment,new page,1
33598,treatment,new page,1.5
20202,control,old page,2.5
26051,treatment,new page,1
28758,treatment,new page,1
32424,treatment,new page,1.5
12730,control,old page,2.5
18113,control,old page,2
