id,group,page,converted
19450,treatment,new page,no
13382,control,old page,no
22030,treatment,new page,no
12175,control,old page,no
12596,control,old page,no
12023,control,old page,no
20777,treatment,new page,yes
12561,control,old page,no
12789,control,old page,no
12488,control,old page,no
13454,control,old page,no
19318,treatment,new page,no
12754,control,old page,yes
20881,treatment,new page,no
13382,control,old page,yes
22028,treatment,new page,no
19747,treatment,new page,no
21642,treatment,new page,no
21748,treatment,new page,yes
20631,treatment,new page,yes
20096,treatment,new page,no
12649,control,old page,no
12491,control,old page,no
20871,treatment,new page,no
12088,control,old page,yes
19306,treatment,new page,yes
19235,treatment,new page,no
21949,treatment,new page,no
12945,control,old page,no
13381,control,old page,no
21226,treatment,new page,no
12269,control,old page,no
20122,treatment,new page,no
13062,control,old page,no
20267,treatment,new page,no
21377,treatment,new page,no
12422,control,old page,no
13256,control,old page,no
19696,treatment,new page,no
19298,treatment,new page,no
12868,control,old page,no
12589,control,old page,no
21081,treatment,new page,no
11959,control,old page,no
12656,control,old page,no
13311,control,old page,no
13401,control,old page,no
12743,control,old page,no
13068,control,old page,no
12459,control,old page,no
19163,treatment,new page,no
21720,treatment,new page,no
20799,treatment,new page,no
21592,treatment,new page,no
20052,treatment,new page,yes
19539,treatment,new page,no
21532,treatment,new page,no
12465,control,old page,yes
11974,control,old page,no
13059,control,old page,no
12675,control,old page,no
12136,control,old page,yes
13102,control,old page,no
19358,treatment,new page,no
12204,control,old page,no
21469,treatment,new page,yes
18993,treatment,new page,no
13330,control,old page,no
12019,control,old page,no
12300,control,old page,no
20149,treatment,new page,no
19799,treatment,new page,no
12503,control,old page,no
12286,control,old page,no
13032,control,old page,no
13310,control,old page,no
13246,control,old page,yes
19826,treatment,new page,no
12931,control,old page,no
21536,treatment,new page,no
12564,control,old page,yes
12229,control,old page,yes
12903,control,old page,yes
21838,treatment,new page,no
12870,control,old page,no
12448,control,old page,yes
13452,control,old page,no
20088,treatment,new page,no
19445,treatment,new page,no
13334,control,old page,no
12669,control,old page,yes
19265,treatment,new page,no
18906,treatment,new page,yes
12060,control,old page,no
13061,control,old page,no
22396,treatment,new page,yes
20860,treatment,new page,no
12774,control,old page,no
21866,treatment,new page,no
21842,treatment,new page,no
12521,control,old page,yes
12680,control,old page,yes
12599,control,old page,no
12059,control,old page,no
12016,control,old page,yes
12252,control,old page,no
20185,treatment,new page,no
21101,treatment,new page,no
12748,control,old page,no
19212,treatment,new page,yes
20330,treatment,new page,no
19932,treatment,new page,no
19382,treatment,new page,no
12407,control,old page,no
13347,control,old page,yes
13119,control,old page,yes
21324,treatment,new page,yes
12137,control,old page,yes
21864,treatment,new page,yes
20130,treatment,new page,no
22025,treatment,new page,no
21484,treatment,new page,yes
13031,control,old page,no
19086,treatment,new page,no
13423,control,old page,yes
21216,treatment,new page,no
11970,control,old page,no
22273,treatment,new page,no
21149,treatment,new page,no
21365,treatment,new page,no
21659,treatment,new page,yes
12483,control,old page,yes
12270,control,old page,no
12392,control,old page,no
19040,treatment,new page,yes
12915,control,old page,no
12389,control,old page,yes
12164,control,old page,no
13358,control,old page,no
13358,control,old page,no
13199,control,old page,no
11993,control,old page,no
20426,treatment,new page,yes
13372,control,old page,no
21483,treatment,new page,no
20566,treatment,new page,no
19113,treatment,new page,no
11894,control,old page,no
12358,control,old page,no
22156,treatment,new page,no
12010,control,old page,no
21066,treatment,new page,yes
13002,control,old page,no
19881,treatment,new page,no
12815,control,old page,no
21778,treatment,new page,no
20255,treatment,new page,no
12406,control,old page,no
12825,control,old page,no
12353,control,old page,yes
12896,control,old page,no
19000,treatment,new page,no
20120,treatment,new page,no
12658,control,old page,no
13235,control,old page,no
11903,control,old page,no
20696,treatment,new page,yes
13275,control,old page,yes
11934,control,old page,no
21941,treatment,new page,yes
12294,control,old page,no
21254,treatment,new page,no
20235,treatment,new page,yes
19580,treatment,new page,no
12196,control,old page,yes
20313,treatment,new page,yes
12057,control,old page,yes
13215,control,old page,no
12401,control,old page,yes
12465,control,old page,yes
20970,treatment,new page,no
20963,treatment,new page,no
20990,treatment,new page,no
13349,control,old page,yes
12724,control,old page,no
12600,control,old page,no
12254,control,old page,no
20404,treatment,new page,yes
19570,treatment,new page,no
20216,treatment,new page,no
21725,treatment,new page,no
12773,control,old page,yes
12430,control,old page,no
12643,control,old page,no
22363,treatment,new page,no
22240,treatment,new page,yes
12467,control,old page,no
19479,treatment,new page,yes
12111,control,old page,no
12420,control,old page,no
12877,control,old page,no
21835,treatment,new page,yes
22131,treatment,new page,no
12885,control,old page,no
12609,control,old page,no
13111,control,old page,no
12195,control,old page,yes
12602,control,old page,yes
11980,control,old page,no
20207,treatment,new page,yes
22091,treatment,new page,no
20618,treatment,new page,no
12733,control,old page,yes
20348,treatment,new page,no
12323,control,old page,yes
12346,control,old page,no
12231,control,old page,no
12087,control,old page,no
19715,treatment,new page,no
12248,control,old page,no
13316,control,old page,yes
19522,treatment,new page,yes
12798,control,old page,no
19296,treatment,new page,yes
12535,control,old page,no
21589,treatment,new page,no
19067,treatment,new page,no
12989,control,old page,no
11954,control,old page,yes
13286,control,old page,no
12018,control,old page,no
12179,control,old page,no
13265,control,old page,no
22057,treatment,new page,no
12453,control,old page,no
12572,control,old page,no
12460,control,old page,no
12051,control,old page,no
12474,control,old page,no
12353,control,old page,no
20094,treatment,new page,no
21734,treatment,new page,no
19597,treatment,new page,yes
12101,control,old page,no
20754,treatment,new page,no
20423,treatment,new page,no
19859,treatment,new page,no
13074,control,old page,yes
21370,treatment,new page,no
19272,treatment,new page,no
12065,control,old page,yes
18988,treatment,new page,no
19742,treatment,new page,no
13195,control,old page,yes
12436,control,old page,yes
21243,treatment,new page,yes
12144,control,old page,no
20520,treatment,new page,no
12726,control,old page,no
19970,treatment,new page,yes
19753,treatment,new page,no
19363,treatment,new page,no
12776,control,old page,yes
12106,control,old page,no
13210,control,old page,no
12801,control,old page,no
18942,treatment,new page,no
12510,control,old page,no
12257,control,old page,no
13444,control,old page,no
12029,control,old page,no
21298,treatment,new page,no
19074,treatment,new page,no
12845,control,old page,yes
11960,control,old page,no
20628,treatment,new page,no
21594,treatment,new page,no
13118,control,old page,no
19990,treatment,new page,no
21011,treatment,new page,yes
12334,control,old page,yes
13360,control,old page,no
12481,control,old page,no
20739,treatment,new page,no
12519,control,old page,no
20924,treatment,new page,no
12325,control,old page,yes
12694,control,old page,yes
19759,treatment,new page,no
20062,treatment,new page,yes
12241,control,old page,no
13262,control,old page,no
12606,control,old page,yes
13246,control,old page,yes
13377,control,old page,no
19229,treatment,new page,no
13081,control,old page,no
19913,treatment,new page,no
12302,control,old page,no
19910,treatment,new page,no
13349,control,old page,yes
12207,control,old page,no
11877,control,old page,no
13450,control,old page,yes
20883,treatment,new page,no
13384,control,old page,yes
21449,treatment,new page,yes
13236,control,old page,no
12324,control,old page,yes
13128,control,old page,yes
13274,control,old page,no
19173,treatment,new page,no
12445,control,old page,yes
12708,control,old page,no
13424,control,old page,yes
20847,treatment,new page,no
12489,control,old page,no
22406,treatment,new page,no
19496,treatment,new page,yes
12622,control,old page,no
20700,treatment,new page,no
21500,treatment,new page,no
12434,control,old page,no
12441,control,old page,yes
13117,control,old page,no
20125,treatment,new page,no
12946,control,old page,yes
13218,control,old page,no
12655,control,old page,no
20936,treatment,new page,no
12685,control,old page,no
12963,control,old page,no
13394,control,old page,no
12297,control,old page,yes
12015,control,old page,no
19850,treatment,new page,no
22182,treatment,new page,no
13126,control,old page,no
21840,treatment,new page,no
19785,treatment,new page,no
12162,control,old page,yes
21676,treatment,new page,no
13164,control,old page,yes
12458,control,old page,yes
19626,treatment,new page,no
11956,control,old page,no
19277,treatment,new page,no
19812,treatment,new page,no
19419,treatment,new page,yes
20643,treatment,new page,no
20703,treatment,new page,no
21464,treatment,new page,no
21698,treatment,new page,no
12909,control,old page,no
12957,control,old page,no
12797,control,old page,yes
12987,control,old page,yes
13324,control,old page,no
19664,treatment,new page,no
19279,treatment,new page,yes
13200,control,old page,no
12053,control,old page,no
21524,treatment,new page,no
21801,treatment,new page,yes
13350,control,old page,no
21652,treatment,new page,no
22078,treatment,new page,no
21447,treatment,new page,no
20783,treatment,new page,no
22026,treatment,new page,yes
18959,treatment,new page,no
21790,treatment,new page,yes
12272,control,old page,yes
20565,treatment,new page,no
12010,control,old page,yes
19096,treatment,new page,no
12810,control,old page,no
12641,control,old page,yes
11937,control,old page,no
22134,treatment,new page,no
12040,control,old page,no
12803,control,old page,no
20575,treatment,new page,no
12938,control,old page,no
19727,treatment,new page,yes
19394,treatment,new page,yes
19978,treatment,new page,no
22066,treatment,new page,no
12871,control,old page,no
20448,treatment,new page,no
12845,control,old page,no
20633,treatment,new page,no
19346,treatment,new page,yes
11990,control,old page,no
12072,control,old page,no
21385,treatment,new page,no
19233,treatment,new page,yes
19352,treatment,new page,yes
22297,treatment,new page,no
21618,treatment,new page,yes
21260,treatment,new page,no
19376,treatment,new page,yes
20197,treatment,new page,no
12468,control,old page,no
12912,control,old page,no
20958,treatment,new page,no
21556,treatment,new page,no
20175,treatment,new page,no
12086,control,old page,no
13136,control,old page,no
12068,control,old page,no
13265,control,old page,no
13026,control,old page,no
12716,control,old page,no
12162,control,old page,no
20262,treatment,new page,yes
12632,control,old page,no
11917,control,old page,no
13014,control,old page,yes
13311,control,old page,yes
13402,control,old page,yes
12105,control,old page,no
20040,treatment,new page,no
20113,treatment,new page,no
19368,treatment,new page,no
12089,control,old page,no
20411,treatment,new page,yes
12524,control,old page,yes
12117,control,old page,yes
12181,control,old page,no
13337,control,old page,no
13125,control,old page,no
21896,treatment,new page,yes
20517,treatment,new page,yes
21932,treatment,new page,no
13376,control,old page,no
13110,control,old page,no
12974,control,old page,yes
22100,treatment,new page,no
20117,treatment,new page,yes
21319,treatment,new page,no
20592,treatment,new page,yes
20563,treatment,new page,yes
20551,treatment,new page,no
12429,control,old page,no
12916,control,old page,yes
12409,control,old page,no
21672,treatment,new page,no
12695,control,old page,yes
21625,treatment,new page,no
20341,treatment,new page,no
13102,control,old page,yes
12813,control,old page,no
22049,treatment,new page,no
19219,treatment,new page,yes
18976,treatment,new page,no
12984,control,old page,no
12665,control,old page,yes
11913,control,old page,no
21038,treatment,new page,no
20925,treatment,new page,no
13135,control,old page,no
13094,control,old page,no
19648,treatment,new page,no
12602,control,old page,no
21245,treatment,new page,yes
12540,control,old page,no
12574,control,old page,no
12275,control,old page,no
21992,treatment,new page,yes
12135,control,old page,yes
12890,control,old page,no
20884,treatment,new page,no
19440,treatment,new page,no
12280,control,old page,no
13437,control,old page,no
11900,control,old page,no
22267,treatment,new page,no
12119,control,old page,no
12476,control,old page,yes
22293,treatment,new page,no
21455,treatment,new page,no
19905,treatment,new page,no
22413,treatment,new page,no
21767,treatment,new page,no
12626,control,old page,no
21565,treatment,new page,no
12446,control,old page,no
20638,treatment,new page,yes
19111,treatment,new page,yes
12796,control,old page,no
22262,treatment,new page,yes
22206,treatment,new page,no
12702,control,old page,no
12804,control,old page,no
21089,treatment,new page,yes
12763,control,old page,no
13397,control,old page,no
22355,treatment,new page,no
13302,control,old page,no
13225,control,old page,no
19337,treatment,new page,no
22175,treatment,new page,no
21758,treatment,new page,no
12975,control,old page,no
19493,treatment,new page,no
21799,treatment,new page,no
18971,treatment,new page,no
21948,treatment,new page,yes
13167,control,old page,no
11928,control,old page,yes
21308,treatment,new page,yes
20677,treatment,new page,no
12918,control,old page,no
22163,treatment,new page,no
21354,treatment,new page,no
20720,treatment,new page,no
12933,control,old page,no
19361,treatment,new page,yes
18946,treatment,new page,no
21274,treatment,new page,no
13213,control,old page,no
12679,control,old page,no
13171,control,old page,no
21351,treatment,new page,no
12528,control,old page,no
12312,control,old page,no
19323,treatment,new page,no
21522,treatment,new page,no
11930,control,old page,yes
12719,control,old page,no
20782,treatment,new page,yes
12467,control,old page,yes
19525,treatment,new page,yes
21619,treatment,new page,no
12025,control,old page,no
19537,treatment,new page,no
12834,control,old page,no
12243,control,old page,no
12012,control,old page,no
19023,treatment,new page,no
12123,control,old page,yes
19688,treatment,new page,no
13442,control,old page,no
19505,treatment,new page,no
19893,treatment,new page,no
21900,treatment,new page,yes
12991,control,old page,no
12256,control,old page,no
19806,treatment,new page,yes
12381,control,old page,yes
12344,control,old page,no
12862,control,old page,yes
19804,treatment,new page,no
22252,treatment,new page,no
12376,control,old page,no
12828,control,old page,no
20127,treatment,new page,no
13198,control,old page,no
20542,treatment,new page,no
11945,control,old page,yes
22327,treatment,new page,yes
20445,treatment,new page,no
12482,control,old page,no
11898,control,old page,no
19282,treatment,new page,no
12692,control,old page,no
13074,control,old page,no
22185,treatment,new page,no
19701,treatment,new page,no
13291,control,old page,no
22438,treatment,new page,no
13243,control,old page,no
12736,control,old page,yes
19099,treatment,new page,no
21430,treatment,new page,no
21262,treatment,new page,no
13085,control,old page,no
21018,treatment,new page,no
18918,treatment,new page,no
20766,treatment,new page,no
12212,control,old page,no
11899,control,old page,no
13331,control,old page,no
21047,treatment,new page,yes
12751,control,old page,no
13040,control,old page,no
13234,control,old page,no
20742,treatment,new page,no
13196,control,old page,no
13436,control,old page,no
19308,treatment,new page,no
13241,control,old page,no
13203,control,old page,no
12948,control,old page,no
13062,control,old page,no
11886,control,old page,no
12935,control,old page,no
21681,treatment,new page,no
20459,treatment,new page,no
19947,treatment,new page,no
12582,control,old page,no
12289,control,old page,yes
12471,control,old page,no
12012,control,old page,no
12003,control,old page,no
12087,control,old page,no
18934,treatment,new page,no
18887,treatment,new page,yes
12994,control,old page,no
19823,treatment,new page,no
21067,treatment,new page,no
22192,treatment,new page,no
18973,treatment,new page,no
19347,treatment,new page,yes
21363,treatment,new page,no
21144,treatment,new page,yes
12782,control,old page,no
21849,treatment,new page,yes
20074,treatment,new page,no
12875,control,old page,no
12032,control,old page,no
12251,control,old page,no
22351,treatment,new page,no
21560,treatment,new page,no
13021,control,old page,yes
21596,treatment,new page,no
13152,control,old page,no
12531,control,old page,no
21317,treatment,new page,yes
19079,treatment,new page,no
19794,treatment,new page,no
13298,control,old page,no
21255,treatment,new page,yes
11949,control,old page,no
21293,treatment,new page,no
12293,control,old page,no
19865,treatment,new page,no
21669,treatment,new page,no
11971,control,old page,no
21072,treatment,new page,yes
21749,treatment,new page,no
12278,control,old page,no
19329,treatment,new page,no
20913,treatment,new page,no
13338,control,old page,no
13427,control,old page,no
13193,control,old page,no
12823,control,old page,no
13086,control,old page,no
21631,treatment,new page,no
19076,treatment,new page,no
21604,treatment,new page,yes
20729,treatment,new page,no
11910,control,old page,no
12335,control,old page,yes
22379,treatment,new page,no
22418,treatment,new page,no
13202,control,old page,no
22107,treatment,new page,yes
13452,control,old page,yes
12828,control,old page,no
13238,control,old page,no
12741,control,old page,no
12991,control,old page,yes
19771,treatment,new page,no
20380,treatment,new page,yes
13206,control,old page,no
20787,treatment,new page,no
12244,control,old page,no
13293,control,old page,no
22179,treatment,new page,no
21301,treatment,new page,no
12052,control,old page,no
11926,control,old page,no
13242,control,old page,yes
12767,control,old page,no
20065,treatment,new page,yes
20076,treatment,new page,no
21919,treatment,new page,no
19573,treatment,new page,yes
21266,treatment,new page,no
13138,control,old page,no
12697,control,old page,no
21922,treatment,new page,no
12214,control,old page,yes
12533,control,old page,yes
13121,control,old page,no
12035,control,old page,no
11986,control,old page,no
20289,treatment,new page,no
19058,treatment,new page,no
20898,treatment,new page,no
22346,treatment,new page,yes
18915,treatment,new page,no
13259,control,old page,yes
12072,control,old page,no
22387,treatment,new page,yes
12377,control,old page,no
12360,control,old page,no
19582,treatment,new page,no
21086,treatment,new page,no
21541,treatment,new page,yes
13054,control,old page,no
19033,treatment,new page,no
12342,control,old page,no
20491,treatment,new page,no
12772,control,old page,no
12008,control,old page,no
18882,treatment,new page,no
12458,control,old page,no
11913,control,old page,no
19758,treatment,new page,no
21621,treatment,new page,no
12531,control,old page,yes
12750,control,old page,no
19824,treatment,new page,no
13291,control,old page,no
12718,control,old page,yes
12654,control,old page,no
12570,control,old page,yes
20272,treatment,new page,no
12213,control,old page,no
12824,control,old page,yes
12166,control,old page,no
12864,control,old page,yes
21004,treatment,new page,yes
18951,treatment,new page,no
12422,control,old page,no
13237,control,old page,yes
19587,treatment,new page,no
21544,treatment,new page,yes
12386,control,old page,no
22377,treatment,new page,no
13105,control,old page,no
12826,control,old page,no
21968,treatment,new page,no
20561,treatment,new page,no
12780,control,old page,no
12987,control,old page,no
12788,control,old page,no
22139,treatment,new page,yes
19130,treatment,new page,no
12113,control,old page,no
19600,treatment,new page,no
12064,control,old page,no
20534,treatment,new page,no
12592,control,old page,no
22213,treatment,new page,no
20594,treatment,new page,yes
13064,control,old page,no
12783,control,old page,no
12838,control,old page,no
13245,control,old page,no
13107,control,old page,no
18908,treatment,new page,no
19500,treatment,new page,no
12338,control,old page,no
13180,control,old page,no
21129,treatment,new page,no
21380,treatment,new page,no
13147,control,old page,no
11918,control,old page,no
19508,treatment,new page,no
13192,control,old page,no
13414,control,old page,no
19980,treatment,new page,no
21537,treatment,new page,no
13046,control,old page,no
19094,treatment,new page,no
20421,treatment,new page,yes
20642,treatment,new page,yes
12245,control,old page,no
21724,treatment,new page,no
12560,control,old page,no
12336,control,old page,yes
13034,control,old page,yes
21406,treatment,new page,no
19424,treatment,new page,no
19814,treatment,new page,yes
21322,treatment,new page,no
12523,control,old page,yes
12821,control,old page,no
12272,control,old page,yes
19513,treatment,new page,no
12375,control,old page,no
13006,control,old page,no
12662,control,old page,no
13204,control,old page,no
12626,control,old page,no
12570,control,old page,no
12573,control,old page,no
12614,control,old page,no
20732,treatment,new page,no
22358,treatment,new page,yes
11947,control,old page,no
20855,treatment,new page,yes
13274,control,old page,no
21307,treatment,new page,yes
20578,treatment,new page,yes
13227,control,old page,no
19653,treatment,new page,no
13137,control,old page,yes
12332,control,old page,yes
19831,treatment,new page,yes
13143,control,old page,no
13000,control,old page,no
11963,control,old page,no
13235,control,old page,no
13093,control,old page,no
13109,control,old page,yes
12787,control,old page,yes
18949,treatment,new page,yes
21459,treatment,new page,yes
12628,control,old page,no
11979,control,old page,no
13212,control,old page,no
19679,treatment,new page,no
21238,treatment,new page,yes
20838,treatment,new page,no
13219,control,old page,no
12354,control,old page,no
19612,treatment,new page,yes
13122,control,old page,yes
13446,control,old page,yes
12061,control,old page,no
21331,treatment,new page,no
20956,treatment,new page,no
22191,treatment,new page,no
21907,treatment,new page,no
19657,treatment,new page,no
12691,control,old page,no
22096,treatment,new page,no
22067,treatment,new page,no
19862,treatment,new page,yes
21664,treatment,new page,no
21898,treatment,new page,no
20965,treatment,new page,yes
12125,control,old page,no
20265,treatment,new page,no
12913,control,old page,yes
12944,control,old page,no
21508,treatment,new page,no
12971,control,old page,yes
12563,control,old page,no
20043,treatment,new page,no
21705,treatment,new page,yes
19575,treatment,new page,no
19857,treatment,new page,no
22074,treatment,new page,no
13042,control,old page,no
20211,treatment,new page,yes
13210,control,old page,yes
12841,control,old page,no
12480,control,old page,yes
21859,treatment,new page,no
21336,treatment,new page,no
22322,treatment,new page,yes
12866,control,old page,no
21638,treatment,new page,yes
19452,treatment,new page,no
12005,control,old page,no
13264,control,old page,no
20821,treatment,new page,no
20243,treatment,new page,yes
19158,treatment,new page,yes
12351,control,old page,yes
22452,treatment,new page,no
12461,control,old page,no
19619,treatment,new page,no
21488,treatment,new page,no
19576,treatment,new page,no
12932,control,old page,no
21396,treatment,new page,no
21426,treatment,new page,no
19159,treatment,new page,yes
19164,treatment,new page,no
21189,treatment,new page,no
22232,treatment,new page,no
12634,control,old page,yes
19045,treatment,new page,no
12564,control,old page,no
11961,control,old page,no
13209,control,old page,no
12130,control,old page,no
20416,treatment,new page,no
13148,control,old page,no
12598,control,old page,no
21214,treatment,new page,no
12842,control,old page,no
12519,control,old page,no
12974,control,old page,no
19604,treatment,new page,no
12472,control,old page,yes
13092,control,old page,no
13218,control,old page,yes
18922,treatment,new page,no
20505,treatment,new page,no
12394,control,old page,no
12734,control,old page,no
21823,treatment,new page,no
20431,treatment,new page,no
18884,treatment,new page,no
18995,treatment,new page,yes
12362,control,old page,no
12622,control,old page,yes
13109,control,old page,no
13158,control,old page,no
13328,control,old page,yes
21573,treatment,new page,yes
13157,control,old page,no
20527,treatment,new page,no
12659,control,old page,yes
20488,treatment,new page,no
11902,control,old page,yes
20953,treatment,new page,yes
12664,control,old page,no
20582,treatment,new page,no
12621,control,old page,yes
12798,control,old page,yes
13140,control,old page,no
21466,treatment,new page,no
12290,control,old page,no
21688,treatment,new page,no
13020,control,old page,yes
12748,control,old page,no
20354,treatment,new page,no
12292,control,old page,no
