id,group,page,payment_opt,transacions,revenue
21773,treatment,new page,Postpaid Methods,6,2168.4
23838,treatment,new page,Apple Pay,5,1262.9
11869,control,old page,Cash On Delivery (COD),3,1326.5
15811,control,old page,Credit Cards,3,1106.1
14750,control,old page,Cash On Delivery (COD),1,200
21015,treatment,new page,Apple Pay,4,2701
18413,treatment,new page,Postpaid Methods,6,1795.5
22394,treatment,new page,Apple Pay,7,943.3
18847,treatment,new page,Postpaid Methods,4,2221.6
19598,treatment,new page,Postpaid Methods,6,2967.3
19391,treatment,new page,Apple Pay,4,1369.4
13889,control,old page,PayPal,1,249
14381,control,old page,PayPal,3,1277.6
21339,treatment,new page,Postpaid Methods,5,3500
17701,treatment,new page,Credit Cards,5,1742.2
13753,control,old page,Cash On Delivery (COD),2,616.3
17255,control,old page,PayPal,1,1253.1
16595,control,old page,Credit Cards,2,714.3
16116,control,old page,Credit Cards,2,1008.2
13145,control,old page,PayPal,3,1130.6
19669,treatment,new page,Postpaid Methods,6,1955.3
23216,treatment,new page,Postpaid Methods,4,1475.9
12452,control,old page,Cash On Delivery (COD),2,518.4
15067,control,old page,PayPal,2,493.9
20867,treatment,new page,Postpaid Methods,6,996.5
11999,control,old page,Credit Cards,2,591.8
11462,control,old page,PayPal,1,812.2
21203,treatment,new page,Cash On Delivery (COD),4,3393.5
18472,treatment,new page,Postpaid Methods,5,2541.2
15125,control,old page,Credit Cards,3,1326.5
21061,treatment,new page,PayPal,4,1582.4
17300,control,old page,Cash On Delivery (COD),2,224.5
12575,control,old page,PayPal,3,1057.1
23669,treatment,new page,Apple Pay,4,1475.9
20498,treatment,new page,Apple Pay,6,1103.1
11908,control,old page,Cash On Delivery (COD),1,1179.6
13526,control,old page,PayPal,3,959.2
17190,control,old page,Credit Cards,1,567.3
13132,control,old page,PayPal,1,1106.1
17488,treatment,new page,Postpaid Methods,4,2221.6
18957,treatment,new page,Postpaid Methods,5,2115.1
12996,control,old page,PayPal,3,518.4
21786,treatment,new page,Apple Pay,4,1742.2
14238,control,old page,PayPal,3,616.3
14925,control,old page,Cash On Delivery (COD),1,322.4
13365,control,old page,Credit Cards,3,910.2
14938,control,old page,Credit Cards,2,1375.5
22705,treatment,new page,Apple Pay,5,1848.8
20834,treatment,new page,Apple Pay,5,2754.3
13772,control,old page,Cash On Delivery (COD),3,1253.1
22996,treatment,new page,Postpaid Methods,5,1848.8
14251,control,old page,PayPal,1,1106.1
15889,control,old page,PayPal,1,959.2
12238,control,old page,Cash On Delivery (COD),3,1302
19747,treatment,new page,Apple Pay,6,1582.4
17540,treatment,new page,Postpaid Methods,5,1316.1
15695,control,old page,Credit Cards,1,1130.6
15533,control,old page,Cash On Delivery (COD),2,298
22071,treatment,new page,Apple Pay,6,2168.4
12407,control,old page,PayPal,1,885.7
19656,treatment,new page,Apple Pay,5,3500
22420,treatment,new page,Cash On Delivery (COD),5,2754.3
22847,treatment,new page,Cash On Delivery (COD),4,2754.3
16640,control,old page,PayPal,3,640.8
14051,control,old page,PayPal,1,395.9
20647,treatment,new page,Postpaid Methods,4,2647.8
17714,treatment,new page,Postpaid Methods,4,996.5
14970,control,old page,PayPal,2,567.3
17850,treatment,new page,Apple Pay,4,2488
11921,control,old page,Credit Cards,1,1179.6
19287,treatment,new page,Postpaid Methods,5,1529.2
22776,treatment,new page,Postpaid Methods,4,2594.5
19863,treatment,new page,Cash On Delivery (COD),5,2860.8
16957,control,old page,PayPal,1,812.2
19792,treatment,new page,Apple Pay,6,2328.2
14646,control,old page,PayPal,3,420.4
16601,control,old page,PayPal,2,224.5
11811,control,old page,PayPal,1,298
23320,treatment,new page,Cash On Delivery (COD),4,1848.8
16828,control,old page,Cash On Delivery (COD),2,1032.7
20161,treatment,new page,PayPal,6,1529.2
11494,control,old page,PayPal,1,787.8
23572,treatment,new page,Postpaid Methods,5,3180.4
20718,treatment,new page,Apple Pay,4,2594.5
16433,control,old page,Cash On Delivery (COD),3,346.9
20705,treatment,new page,PayPal,5,1742.2
17967,treatment,new page,Apple Pay,5,1635.7
20297,treatment,new page,Postpaid Methods,4,3286.9
14290,control,old page,PayPal,2,1081.6
16251,control,old page,PayPal,4,444.9
22116,treatment,new page,Apple Pay,5,3180.4
15844,control,old page,Cash On Delivery (COD),1,910.2
