id,group,pdp_page,cta,actions
440162,treatment,new page,order btn,view
483231,treatment,new page,order btn,view
465207,treatment,new page,order btn,view
539085,treatment,new page,order btn,click
558262,treatment,new page,order btn,view
563815,treatment,new page,order btn,view
438591,treatment,new page,order btn,view
24252,control,old page,buy btn,click
582259,treatment,new page,order btn,view
568636,treatment,new page,order btn,view
30910,control,old page,buy btn,view
21022,control,old page,buy btn,view
28622,control,old page,buy btn,view
39464,control,old page,buy btn,view
589280,treatment,new page,order btn,view
38222,control,old page,buy btn,view
503666,treatment,new page,order btn,view
18572,control,old page,buy btn,click
649220,treatment,new page,order btn,view
17664,control,old page,buy btn,view
46271,control,old page,buy btn,view
678142,treatment,new page,order btn,view
19791,control,old page,buy btn,view
580582,treatment,new page,order btn,click
34233,control,old page,buy btn,click
574923,treatment,new page,order btn,view
538351,treatment,new page,order btn,view
46536,control,old page,buy btn,view
549250,treatment,new page,order btn,view
613277,treatment,new page,order btn,view
533426,treatment,new page,order btn,click
23333,control,old page,buy btn,view
448965,treatment,new page,order btn,view
22252,control,old page,buy btn,view
20861,control,old page,buy btn,view
40407,control,old page,buy btn,view
27403,control,old page,buy btn,view
27495,control,old page,buy btn,view
517393,treatment,new page,order btn,view
23034,control,old page,buy btn,view
34670,control,old page,buy btn,view
41430,control,old page,buy btn,view
551869,treatment,new page,order btn,view
467618,treatment,new page,order btn,click
23839,control,old page,buy btn,click
44673,control,old page,buy btn,click
673112,treatment,new page,order btn,view
19389,control,old page,buy btn,view
30323,control,old page,buy btn,view
26081,control,old page,buy btn,view
534369,treatment,new page,order btn,click
44236,control,old page,buy btn,view
520956,treatment,new page,order btn,click
574714,treatment,new page,order btn,view
22229,control,old page,buy btn,view
13548,control,old page,buy btn,click
514459,treatment,new page,order btn,click
507543,treatment,new page,order btn,click
35957,control,old page,buy btn,view
491929,treatment,new page,order btn,view
17170,control,old page,buy btn,view
30312,control,old page,buy btn,view
45064,control,old page,buy btn,click
498426,treatment,new page,order btn,view
479878,treatment,new page,order btn,view
19239,control,old page,buy btn,view
17446,control,old page,buy btn,view
524100,treatment,new page,order btn,click
17411,control,old page,buy btn,click
34877,control,old page,buy btn,view
532588,treatment,new page,order btn,view
665358,treatment,new page,order btn,click
13674,control,old page,buy btn,view
31220,control,old page,buy btn,click
664100,treatment,new page,order btn,view
627947,treatment,new page,order btn,view
678666,treatment,new page,order btn,click
436600,treatment,new page,order btn,click
14261,control,old page,buy btn,click
518546,treatment,new page,order btn,view
675941,treatment,new page,order btn,click
577543,treatment,new page,order btn,view
594938,treatment,new page,order btn,view
18457,control,old page,buy btn,view
522947,treatment,new page,order btn,view
28576,control,old page,buy btn,click
16365,control,old page,buy btn,view
19814,control,old page,buy btn,view
33577,control,old page,buy btn,view
44788,control,old page,buy btn,click
33635,control,old page,buy btn,view
19745,control,old page,buy btn,view
21205,control,old page,buy btn,view
46708,control,old page,buy btn,view
37464,control,old page,buy btn,view
608142,treatment,new page,order btn,view
18515,control,old page,buy btn,view
588651,treatment,new page,order btn,view
28070,control,old page,buy btn,click
36486,control,old page,buy btn,click
28725,control,old page,buy btn,view
20872,control,old page,buy btn,view
