id,group,page,converted
12543,control,old page,yes
12084,control,old page,no
18910,treatment,new page,no
21108,treatment,new page,no
18914,treatment,new page,no
18879,treatment,new page,no
20524,treatment,new page,no
12129,control,old page,no
12569,control,old page,no
21873,treatment,new page,no
12294,control,old page,no
12192,control,old page,no
20897,treatment,new page,no
19412,treatment,new page,no
21465,treatment,new page,no
19452,treatment,new page,no
12315,control,old page,no
21427,treatment,new page,no
12758,control,old page,no
12527,control,old page,yes
18982,treatment,new page,no
19784,treatment,new page,no
20560,treatment,new page,yes
20753,treatment,new page,no
12386,control,old page,no
19498,treatment,new page,no
20525,treatment,new page,no
12887,control,old page,no
22262,treatment,new page,no
12505,control,old page,no
19659,treatment,new page,no
21032,treatment,new page,no
21293,treatment,new page,no
20377,treatment,new page,no
12366,control,old page,no
21559,treatment,new page,no
12795,control,old page,no
21103,treatment,new page,no
11927,control,old page,no
19209,treatment,new page,no
12038,control,old page,no
21191,treatment,new page,no
22369,treatment,new page,no
20143,treatment,new page,no
21728,treatment,new page,no
12016,control,old page,no
12801,control,old page,no
21695,treatment,new page,no
13348,control,old page,no
12375,control,old page,no
12442,control,old page,no
12422,control,old page,no
21686,treatment,new page,no
21418,treatment,new page,no
21860,treatment,new page,no
21622,treatment,new page,yes
12570,control,old page,no
21603,treatment,new page,no
12695,control,old page,no
21649,treatment,new page,no
19364,treatment,new page,no
20950,treatment,new page,no
22137,treatment,new page,no
19718,treatment,new page,no
13398,control,old page,no
19624,treatment,new page,no
13376,control,old page,no
12222,control,old page,no
19778,treatment,new page,no
19253,treatment,new page,no
20346,treatment,new page,no
21824,treatment,new page,no
12438,control,old page,no
21252,treatment,new page,no
19103,treatment,new page,no
11953,control,old page,no
13104,control,old page,no
21235,treatment,new page,no
21080,treatment,new page,yes
12540,control,old page,no
12361,control,old page,no
13430,control,old page,no
13245,control,old page,no
13433,control,old page,no
12848,control,old page,no
13261,control,old page,no
21295,treatment,new page,no
20343,treatment,new page,yes
12452,control,old page,no
13017,control,old page,no
13155,control,old page,no
22046,treatment,new page,no
13086,control,old page,no
20845,treatment,new page,no
19135,treatment,new page,no
12338,control,old page,yes
12765,control,old page,no
12188,control,old page,no
13128,control,old page,no
13129,control,old page,no
12461,control,old page,yes
12566,control,old page,no
13066,control,old page,yes
21626,treatment,new page,no
12320,control,old page,no
21163,treatment,new page,no
20180,treatment,new page,no
13372,control,old page,no
21238,treatment,new page,no
12989,control,old page,no
12464,control,old page,yes
22045,treatment,new page,no
12353,control,old page,no
20527,treatment,new page,no
12743,control,old page,no
22421,treatment,new page,no
21244,treatment,new page,no
12451,control,old page,no
21811,treatment,new page,no
12072,control,old page,no
22149,treatment,new page,no
20219,treatment,new page,yes
12475,control,old page,no
12713,control,old page,no
12793,control,old page,no
12177,control,old page,no
11900,control,old page,no
20587,treatment,new page,no
22202,treatment,new page,no
12660,control,old page,no
13328,control,old page,yes
19731,treatment,new page,no
12305,control,old page,no
12155,control,old page,no
21362,treatment,new page,no
21911,treatment,new page,no
20335,treatment,new page,no
12428,control,old page,no
12317,control,old page,yes
12497,control,old page,no
12207,control,old page,no
11960,control,old page,no
22296,treatment,new page,no
12402,control,old page,yes
13426,control,old page,no
20778,treatment,new page,no
20497,treatment,new page,no
19145,treatment,new page,no
21263,treatment,new page,no
13450,control,old page,no
20605,treatment,new page,no
20874,treatment,new page,no
20375,treatment,new page,no
13125,control,old page,no
21838,treatment,new page,no
11947,control,old page,no
20993,treatment,new page,no
12939,control,old page,no
13070,control,old page,no
12875,control,old page,no
11953,control,old page,no
13415,control,old page,no
19456,treatment,new page,yes
12901,control,old page,no
19931,treatment,new page,no
13200,control,old page,no
20750,treatment,new page,no
12285,control,old page,no
12999,control,old page,yes
21983,treatment,new page,yes
21852,treatment,new page,yes
21117,treatment,new page,no
12824,control,old page,no
12448,control,old page,no
12743,control,old page,no
11999,control,old page,no
11905,control,old page,no
20320,treatment,new page,no
13143,control,old page,no
12105,control,old page,no
12746,control,old page,no
13404,control,old page,yes
13268,control,old page,no
13016,control,old page,no
12899,control,old page,no
19725,treatment,new page,no
12453,control,old page,no
20394,treatment,new page,yes
13329,control,old page,no
19957,treatment,new page,no
13287,control,old page,no
12303,control,old page,no
19360,treatment,new page,no
12137,control,old page,no
12528,control,old page,no
12614,control,old page,no
19160,treatment,new page,yes
19517,treatment,new page,no
18915,treatment,new page,no
13084,control,old page,no
13355,control,old page,no
12318,control,old page,no
21064,treatment,new page,no
12027,control,old page,no
12631,control,old page,no
12395,control,old page,no
22034,treatment,new page,no
13455,control,old page,yes
12143,control,old page,no
13333,control,old page,no
13081,control,old page,yes
11964,control,old page,no
21241,treatment,new page,no
20139,treatment,new page,no
20080,treatment,new page,no
11994,control,old page,no
22246,treatment,new page,no
13030,control,old page,no
18941,treatment,new page,no
21784,treatment,new page,no
11984,control,old page,yes
21073,treatment,new page,no
12613,control,old page,no
11958,control,old page,no
19548,treatment,new page,yes
12292,control,old page,yes
12719,control,old page,no
12600,control,old page,yes
12910,control,old page,no
12856,control,old page,no
21636,treatment,new page,no
12456,control,old page,no
19475,treatment,new page,no
21832,treatment,new page,no
13125,control,old page,no
12450,control,old page,no
21869,treatment,new page,no
12947,control,old page,no
13071,control,old page,no
12777,control,old page,no
20984,treatment,new page,no
12575,control,old page,no
21219,treatment,new page,no
12398,control,old page,no
13023,control,old page,yes
13434,control,old page,no
12699,control,old page,yes
21197,treatment,new page,no
19920,treatment,new page,no
20274,treatment,new page,no
12581,control,old page,no
12287,control,old page,no
20042,treatment,new page,no
19420,treatment,new page,no
22314,treatment,new page,no
13064,control,old page,yes
13253,control,old page,yes
19299,treatment,new page,no
22378,treatment,new page,no
18924,treatment,new page,no
13305,control,old page,no
22012,treatment,new page,yes
12271,control,old page,no
12210,control,old page,no
13241,control,old page,no
21374,treatment,new page,no
20067,treatment,new page,no
12524,control,old page,no
12689,control,old page,no
12075,control,old page,no
20102,treatment,new page,no
13213,control,old page,no
12162,control,old page,no
13374,control,old page,no
19830,treatment,new page,yes
12701,control,old page,no
12618,control,old page,no
13360,control,old page,no
21210,treatment,new page,yes
19053,treatment,new page,no
12665,control,old page,no
19392,treatment,new page,no
12611,control,old page,no
20557,treatment,new page,no
20337,treatment,new page,no
19034,treatment,new page,yes
20899,treatment,new page,yes
12260,control,old page,no
20588,treatment,new page,no
21361,treatment,new page,yes
21722,treatment,new page,no
22251,treatment,new page,no
21644,treatment,new page,no
21747,treatment,new page,yes
13269,control,old page,no
19970,treatment,new page,yes
19201,treatment,new page,no
12534,control,old page,no
12994,control,old page,no
11968,control,old page,no
19100,treatment,new page,no
21627,treatment,new page,yes
19897,treatment,new page,no
12271,control,old page,no
13232,control,old page,no
12240,control,old page,yes
19950,treatment,new page,no
21134,treatment,new page,yes
19290,treatment,new page,no
22300,treatment,new page,no
21458,treatment,new page,yes
12336,control,old page,no
13215,control,old page,yes
21200,treatment,new page,no
12853,control,old page,no
22184,treatment,new page,yes
12367,control,old page,no
20161,treatment,new page,no
20494,treatment,new page,yes
22219,treatment,new page,yes
22206,treatment,new page,yes
19283,treatment,new page,no
19086,treatment,new page,no
12289,control,old page,yes
12173,control,old page,no
12009,control,old page,no
12986,control,old page,yes
20617,treatment,new page,no
19068,treatment,new page,no
12563,control,old page,no
11964,control,old page,no
19136,treatment,new page,no
21245,treatment,new page,yes
13210,control,old page,no
22228,treatment,new page,no
12909,control,old page,no
12471,control,old page,no
11917,control,old page,no
18906,treatment,new page,no
12791,control,old page,yes
19291,treatment,new page,no
13240,control,old page,no
12872,control,old page,no
13183,control,old page,no
12416,control,old page,no
12666,control,old page,yes
13032,control,old page,no
12653,control,old page,no
13038,control,old page,no
21050,treatment,new page,no
12842,control,old page,no
20471,treatment,new page,no
13289,control,old page,no
11919,control,old page,no
22191,treatment,new page,no
12178,control,old page,no
12321,control,old page,no
21619,treatment,new page,yes
12565,control,old page,no
12849,control,old page,no
13361,control,old page,no
12489,control,old page,yes
20746,treatment,new page,no
21275,treatment,new page,no
13349,control,old page,no
21908,treatment,new page,yes
12059,control,old page,no
12093,control,old page,no
12584,control,old page,no
12324,control,old page,no
13108,control,old page,no
19373,treatment,new page,yes
12083,control,old page,no
12144,control,old page,no
13246,control,old page,no
19503,treatment,new page,no
11994,control,old page,yes
12933,control,old page,no
21279,treatment,new page,no
11952,control,old page,no
13103,control,old page,yes
21915,treatment,new page,yes
12491,control,old page,no
12268,control,old page,no
12540,control,old page,no
19916,treatment,new page,yes
19518,treatment,new page,no
12288,control,old page,no
13207,control,old page,no
12987,control,old page,no
20536,treatment,new page,yes
12354,control,old page,no
12811,control,old page,no
12023,control,old page,no
20035,treatment,new page,yes
18931,treatment,new page,no
12164,control,old page,no
12466,control,old page,no
20687,treatment,new page,yes
12617,control,old page,no
21705,treatment,new page,no
12441,control,old page,yes
21448,treatment,new page,no
13129,control,old page,yes
13161,control,old page,no
21347,treatment,new page,no
19388,treatment,new page,no
18878,treatment,new page,no
12683,control,old page,no
12612,control,old page,no
19839,treatment,new page,no
21089,treatment,new page,no
12601,control,old page,yes
13155,control,old page,no
21170,treatment,new page,yes
13293,control,old page,no
22210,treatment,new page,yes
20336,treatment,new page,yes
12740,control,old page,no
13382,control,old page,no
20195,treatment,new page,no
13166,control,old page,no
12444,control,old page,no
22061,treatment,new page,yes
20586,treatment,new page,no
12946,control,old page,no
21875,treatment,new page,no
19746,treatment,new page,yes
21840,treatment,new page,no
21488,treatment,new page,no
20073,treatment,new page,yes
12056,control,old page,yes
19476,treatment,new page,no
12707,control,old page,no
11876,control,old page,no
12168,control,old page,no
13394,control,old page,no
20843,treatment,new page,no
12959,control,old page,no
21182,treatment,new page,no
21723,treatment,new page,no
21583,treatment,new page,yes
20676,treatment,new page,no
13043,control,old page,no
19613,treatment,new page,no
12065,control,old page,no
19033,treatment,new page,no
13276,control,old page,no
11979,control,old page,no
13101,control,old page,no
22166,treatment,new page,yes
12804,control,old page,no
20071,treatment,new page,no
19526,treatment,new page,no
20164,treatment,new page,yes
21022,treatment,new page,no
13303,control,old page,no
13242,control,old page,no
20242,treatment,new page,no
12759,control,old page,no
20262,treatment,new page,no
19994,treatment,new page,yes
12114,control,old page,no
21806,treatment,new page,yes
12455,control,old page,no
12990,control,old page,no
13171,control,old page,yes
13370,control,old page,no
21359,treatment,new page,yes
19005,treatment,new page,no
12838,control,old page,no
20877,treatment,new page,no
22341,treatment,new page,no
20390,treatment,new page,no
21701,treatment,new page,yes
12236,control,old page,no
18984,treatment,new page,no
12940,control,old page,no
21106,treatment,new page,no
12439,control,old page,yes
12626,control,old page,no
13367,control,old page,no
12983,control,old page,no
19808,treatment,new page,no
19763,treatment,new page,yes
13369,control,old page,no
22106,treatment,new page,no
12121,control,old page,no
19703,treatment,new page,no
13170,control,old page,yes
12949,control,old page,no
12889,control,old page,no
19558,treatment,new page,no
12104,control,old page,no
22273,treatment,new page,yes
20631,treatment,new page,no
20723,treatment,new page,no
12929,control,old page,no
19423,treatment,new page,no
20028,treatment,new page,no
12559,control,old page,yes
19304,treatment,new page,yes
19941,treatment,new page,no
11953,control,old page,no
21575,treatment,new page,no
19757,treatment,new page,yes
19952,treatment,new page,no
20691,treatment,new page,no
12330,control,old page,no
20738,treatment,new page,no
21305,treatment,new page,no
20822,treatment,new page,no
12529,control,old page,yes
22132,treatment,new page,yes
12845,control,old page,no
12488,control,old page,no
12311,control,old page,no
12923,control,old page,no
12785,control,old page,no
12810,control,old page,no
13048,control,old page,no
12794,control,old page,no
22041,treatment,new page,yes
13112,control,old page,no
22105,treatment,new page,no
12070,control,old page,no
19197,treatment,new page,yes
13263,control,old page,no
13153,control,old page,yes
12511,control,old page,no
12197,control,old page,no
12318,control,old page,no
21522,treatment,new page,yes
20513,treatment,new page,no
22331,treatment,new page,no
12419,control,old page,yes
19614,treatment,new page,no
19668,treatment,new page,yes
13441,control,old page,no
20898,treatment,new page,yes
22030,treatment,new page,no
21545,treatment,new page,no
12878,control,old page,yes
20969,treatment,new page,yes
12127,control,old page,no
13422,control,old page,no
12764,control,old page,no
18933,treatment,new page,no
12332,control,old page,no
20093,treatment,new page,no
12945,control,old page,no
12386,control,old page,no
11997,control,old page,no
13188,control,old page,no
20799,treatment,new page,no
21229,treatment,new page,no
12655,control,old page,yes
21119,treatment,new page,no
21180,treatment,new page,no
12290,control,old page,yes
12861,control,old page,no
20392,treatment,new page,no
19235,treatment,new page,no
13184,control,old page,no
20261,treatment,new page,no
12438,control,old page,yes
13196,control,old page,yes
21354,treatment,new page,yes
12941,control,old page,no
13285,control,old page,no
19902,treatment,new page,no
20902,treatment,new page,no
12731,control,old page,no
12496,control,old page,no
20105,treatment,new page,no
20686,treatment,new page,no
